id,Status_D,Status_C,Status_CL
7905,0.66903454,0.30889836,0.022067098
7906,0.30073607,0.27151507,0.42774883
7907,0.98527676,0.012877887,0.0018453363
7908,0.015520687,0.9793001,0.0051792543
7909,0.061616406,0.8945547,0.04382888
7910,0.0043711476,0.9950352,0.00059374765
7911,0.016309695,0.9814239,0.0022663753
7912,0.8835678,0.09302881,0.023403376
7913,0.9993537,0.00057405344,7.223022e-05
7914,0.20295607,0.7820242,0.015019676
7915,0.06772916,0.93003637,0.0022345278
7916,0.48459667,0.5095591,0.00584426
7917,0.48503855,0.3959886,0.11897284
7918,0.082811564,0.91206574,0.005122738
7919,0.1337109,0.8132185,0.053070597
7920,0.029278126,0.9693276,0.0013942384
7921,0.06988565,0.92702985,0.003084442
7922,0.97117597,0.027073849,0.001750175
7923,0.061160304,0.93784994,0.0009897797
7924,0.081901826,0.76634336,0.1517548
7925,0.9954116,0.004315302,0.00027314294
7926,0.10790567,0.89144635,0.0006479886
7927,0.13891985,0.8513423,0.009737871
7928,0.89842784,0.09838712,0.0031850692
7929,0.031404924,0.9602577,0.008337379
7930,0.6918089,0.1810805,0.12711063
7931,0.0774748,0.9189259,0.0035993152
7932,0.6374376,0.3342598,0.028302608
7933,0.3593107,0.5250277,0.11566165
7934,0.020853207,0.97826284,0.00088387524
7935,0.031814307,0.96432984,0.0038558368
7936,0.06115644,0.91767955,0.021163983
7937,0.70436466,0.2707542,0.024881192
7938,0.057341464,0.9381158,0.0045426846
7939,0.47207737,0.4628457,0.06507694
7940,0.47817016,0.47449335,0.047336496
7941,0.7232246,0.15090053,0.12587494
7942,0.08718898,0.9038424,0.00896865
7943,0.95145243,0.0366524,0.011895174
7944,0.007251688,0.99247324,0.00027503964
7945,0.024157908,0.9753597,0.00048245068
7946,0.056768473,0.93570226,0.00752928
7947,0.22002025,0.7767634,0.0032164091
7948,0.76018894,0.22730628,0.01250479
7949,0.8860966,0.067072034,0.046831444
7950,0.030594885,0.9679823,0.0014227935
7951,0.6231358,0.32000983,0.056854382
7952,0.4473527,0.48175716,0.07089012
7953,0.99096686,0.008157933,0.0008751471
7954,0.025923142,0.971983,0.0020938504
7955,0.6623186,0.32107347,0.016607948
7956,0.9758488,0.0132902805,0.010860962
7957,0.12818034,0.8564352,0.015384463
7958,0.98558146,0.012119541,0.0022990347
7959,0.8032629,0.17649776,0.020239286
7960,0.8441105,0.12792906,0.027960457
7961,0.11738901,0.87440467,0.0082062995
7962,0.92713284,0.07244153,0.00042558557
7963,0.84996235,0.093900874,0.056136847
7964,0.9739325,0.016557435,0.009510075
7965,0.009125479,0.9881384,0.0027362024
7966,0.38598713,0.6100564,0.0039564483
7967,0.041495893,0.95009035,0.008413729
7968,0.04492727,0.95464665,0.00042606232
7969,0.793248,0.18328276,0.023469206
7970,0.04902893,0.950102,0.00086906826
7971,0.013075343,0.9856017,0.0013228954
7972,0.18139072,0.5339536,0.28465563
7973,0.051546324,0.94636565,0.0020880443
7974,0.57431513,0.4088854,0.01679948
7975,0.06700771,0.9151526,0.017839666
7976,0.148188,0.8475233,0.00428878
7977,0.048209697,0.943334,0.008456313
7978,0.9699239,0.02724575,0.0028303836
7979,0.4831115,0.47942197,0.037466533
7980,0.029135954,0.969936,0.0009279856
7981,0.14193083,0.8349398,0.023129415
7982,0.2096087,0.7850782,0.0053130495
7983,0.068408065,0.92094296,0.010648947
7984,0.832745,0.11659175,0.050663203
7985,0.4909355,0.504284,0.0047804564
7986,0.44754383,0.07868355,0.4737726
7987,0.24757554,0.73312247,0.019301983
7988,0.17780955,0.81181824,0.010372174
7989,0.034041926,0.9587295,0.0072285854
7990,0.74956673,0.22476304,0.025670225
7991,0.942547,0.04941178,0.008041161
7992,0.03807568,0.95870143,0.0032228937
7993,0.13237831,0.86371535,0.003906328
7994,0.037077554,0.960439,0.0024834455
7995,0.21030048,0.766128,0.023571512
7996,0.98553073,0.00838649,0.006082829
7997,0.058680274,0.92671907,0.014600639
7998,0.9991584,0.0005147355,0.00032686145
7999,0.9988165,0.0006078096,0.0005757002
8000,0.12021073,0.86713254,0.012656738
8001,0.07812126,0.9149464,0.006932357
8002,0.48196194,0.26800814,0.25002992
8003,0.19112091,0.73296,0.075919144
8004,0.6841264,0.29751268,0.018360905
8005,0.05057993,0.9465305,0.0028895726
8006,0.09102405,0.86157185,0.04740416
8007,0.15836795,0.82132125,0.020310862
8008,0.025129998,0.972138,0.0027320308
8009,0.15279654,0.8307895,0.016413981
8010,0.037282966,0.9514857,0.011231322
8011,0.080301136,0.9157422,0.003956644
8012,0.15022314,0.8464141,0.0033627513
8013,0.93217385,0.051559255,0.016266976
8014,0.02655777,0.95741874,0.016023513
8015,0.08850036,0.9082245,0.0032751178
8016,0.005271763,0.994456,0.00027229375
8017,0.49053746,0.5065117,0.0029508662
8018,0.12538111,0.8550925,0.019526342
8019,0.039548803,0.9475286,0.012922655
8020,0.4255163,0.55407345,0.02041024
8021,0.9810862,0.018542804,0.000370952
8022,0.9101124,0.06898829,0.020899292
8023,0.25603083,0.70239264,0.04157653
